Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
12/1/2008,Albury,13.4,22.9,0.6,,,W,44,W,WNW,20,24,71,22,1007.7,1007.1,8,,16.9,21.8,No,0,No
12/2/2008,Albury,7.4,25.1,0,,,WNW,44,NNW,WSW,4,22,44,25,1010.6,1007.8,,,17.2,24.3,No,0,No
12/3/2008,Albury,12.9,25.7,0,,,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,,2,21,23.2,No,0,No
12/4/2008,Albury,9.2,28,0,,,NE,24,SE,E,11,9,45,16,1017.6,1012.8,,,18.1,26.5,No,1,No
12/5/2008,Albury,17.5,32.3,1,,,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,0.2,No
12/6/2008,Albury,14.6,29.7,0.2,,,WNW,56,W,W,19,24,55,23,1009.2,1005.4,,,20.6,28.9,No,0,No
12/7/2008,Albury,14.3,25,0,,,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,,18.1,24.6,No,0,No
12/8/2008,Albury,7.7,26.7,0,,,W,35,SSE,W,6,17,48,19,1013.4,1010.1,,,16.3,25.5,No,0,No
12/9/2008,Albury,9.7,31.9,0,,,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,,,18.3,30.2,No,1.4,Yes
12/10/2008,Albury,13.1,30.1,1.4,,,W,28,S,SSE,15,11,58,27,1007,1005.7,,,20.1,28.2,Yes,0,No
12/11/2008,Albury,13.4,30.4,0,,,N,30,SSE,ESE,17,6,48,22,1011.8,1008.7,,,20.4,28.8,No,2.2,Yes
12/12/2008,Albury,15.9,21.7,2.2,,,NNE,31,NE,ENE,15,13,89,91,1010.5,1004.2,8,8,15.9,17,Yes,15.6,Yes
12/13/2008,Albury,15.9,18.6,15.6,,,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,3.6,Yes
12/14/2008,Albury,12.6,21,3.6,,,SW,44,W,SSW,24,20,65,43,1001.2,1001.8,,7,15.8,19.8,Yes,0,No
12/16/2008,Albury,9.8,27.7,,,,WNW,50,,WNW,,22,50,28,1013.4,1010.3,0,,17.3,26.2,,0,No
12/17/2008,Albury,14.1,20.9,0,,,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,16.8,Yes
12/18/2008,Albury,13.5,22.9,16.8,,,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,10.6,Yes
12/19/2008,Albury,11.2,22.5,10.6,,,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,,2,15.5,21,Yes,0,No
12/20/2008,Albury,9.8,25.6,0,,,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,,,15.8,23.2,No,0,No
12/21/2008,Albury,11.5,29.3,0,,,S,24,SE,SE,9,9,56,28,1019.3,1014.8,,,19.1,27.3,No,0,No
12/22/2008,Albury,17.1,33,0,,,NE,43,NE,N,17,22,38,28,1013.6,1008.1,,1,24.5,31.6,No,0,No
12/23/2008,Albury,20.5,31.8,0,,,WNW,41,W,W,19,20,54,24,1007.8,1005.7,,,23.8,30.8,No,0,No
12/24/2008,Albury,15.3,30.9,0,,,N,33,ESE,NW,6,13,55,23,1011,1008.2,5,,20.9,29,No,0,No
12/25/2008,Albury,12.6,32.4,0,,,W,43,E,W,4,19,49,17,1012.9,1010.1,,,21.5,31.2,No,0,No
12/26/2008,Albury,16.2,33.9,0,,,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,,1,23.2,33,No,0,No
12/27/2008,Albury,16.9,33,0,,,WSW,57,,W,0,26,41,28,1006.8,1003.6,,1,26.6,31.2,No,0,No
12/28/2008,Albury,20.1,32.7,0,,,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,,,24.6,32.1,No,0,No
12/29/2008,Albury,19.7,27.2,0,,,WNW,46,NW,WSW,19,30,49,22,1004.8,1004.2,,,21.6,26.1,No,1.2,Yes
12/30/2008,Albury,12.5,24.2,1.2,,,WNW,50,WSW,SW,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,Yes,0.8,No
12/31/2008,Albury,12,24.4,0.8,,,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,,16.9,22.7,No,0,No
1/1/2009,Albury,11.3,26.5,0,,,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,,,19.7,25.7,No,0,No
1/2/2009,Albury,9.6,23.9,0,,,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,,,14.9,22.1,No,0,No
1/3/2009,Albury,10.5,28.8,0,,,SSE,26,SSE,E,11,7,43,22,1018.7,1014.8,,,17.1,26.5,No,0,No
1/4/2009,Albury,12.3,34.6,0,,,WNW,37,SSE,NW,6,17,41,12,1015.1,1010.3,,,20.7,33.9,No,0,No
1/5/2009,Albury,12.9,35.8,0,,,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,,,22.4,34.4,No,0,No
1/6/2009,Albury,13.7,37.9,0,,,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,,,23.1,36.8,No,0,No
1/7/2009,Albury,16.1,38.9,0,,,W,57,E,W,6,30,34,12,1007,1002.7,,,25.2,38.4,No,0,No
1/8/2009,Albury,14,28.3,0,,,W,48,W,WSW,17,24,43,15,1011.9,1010.9,,,17.9,27.6,No,0,No
1/9/2009,Albury,12.5,28.4,0,,,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,,,17.2,26.6,No,0,No
1/10/2009,Albury,17,30.8,0,,,NE,37,NNE,E,15,11,36,24,1013.4,1008.1,,,20.2,29.3,No,0,No
1/11/2009,Albury,16.9,32,0,,,S,31,SSE,N,13,17,52,31,1009.9,1006.8,,,22.8,30,No,0,No
1/12/2009,Albury,17.3,34.7,0,,,SW,35,SE,WSW,7,15,48,16,1014.1,1012.1,,,24.2,33.2,No,0,No
1/13/2009,Albury,17.2,37.7,0,,,NNW,35,SE,NW,7,17,51,19,1015.7,1010.9,,,24.3,35.7,No,0,No
